		Structural Health Monitor
	 TIMESTAMP 	 ACCx 	ACCy 	ACCz 	  BAT 	 HUM 	 TEMP 	 MAS 	 RLE 
200/1/9 21:24:56	-4.43	-4.16	2.82	191.00	63.00	32.00	5268	5344
200/1/9 21:25:1		-4.39	-4.20	2.82	191.00	63.00	32.00	5260	5344
200/1/9 21:25:5		-4.39	-4.20	2.79	191.00	61.00	33.00	5264	5348
200/1/9 21:25:10	-4.43	-4.20	2.90	191.00	62.00	32.00	5264	5352
200/1/9 21:25:14	-4.39	-4.20	2.82	191.00	62.00	32.00	5276	5356
200/1/9 21:25:19	-4.43	-4.20	2.86	191.00	63.00	32.00	5260	5352
200/1/9 21:25:23	-4.35	-4.16	2.86	191.00	63.00	32.00	5284	5332
200/1/9 21:25:28	-4.39	-4.20	2.82	191.00	63.00	32.00	5284	5324
200/1/9 21:25:33	-4.43	-4.20	2.79	191.00	63.00	32.00	5268	5352
200/1/9 21:25:37	-4.43	-4.20	2.86	191.00	63.00	32.00	5280	5356
200/1/9 21:25:42	-4.43	-4.20	2.86	191.00	62.00	33.00	5288	5336
200/1/9 21:25:46	-4.43	-4.24	2.86	191.00	62.00	33.00	5284	5344
200/1/9 21:25:51	-4.43	-4.24	2.82	191.00	63.00	32.00	5280	5336
200/1/9 21:25:55	-4.43	-4.20	2.86	191.00	62.00	33.00	5268	5340
200/1/9 21:26:0		-4.43	-4.20	2.82	192.00	62.00	33.00	5288	5332
200/1/9 21:26:5		-4.39	-4.16	2.86	192.00	63.00	32.00	5288	5328
200/1/9 21:26:9		-4.47	-4.16	2.82	192.00	63.00	32.00	5288	5332
